customer_id,name,email,signup_date,country
1,Jacob Wright,allen30@example.net,2025-02-11,Morocco
2,Tammy Monroe,francissara@example.net,2023-07-22,Reunion
3,Sandra Montes,rdavis@example.org,2025-05-15,Antarctica (the territory South of 60 deg S)
4,Melissa Fleming,blevinsantonio@example.net,2023-09-13,Vietnam
5,William Dixon,eford@example.net,2023-08-01,Finland
6,Margaret Allen,hvazquez@example.org,2023-01-20,Aruba
7,Crystal Brown,roberthughes@example.net,2023-01-18,Montserrat
8,Kristen Taylor,martin67@example.net,2025-02-01,Puerto Rico
9,Christopher Flowers,troyali@example.org,2025-06-05,Puerto Rico
10,Lauren Black,alejandro03@example.org,2023-04-08,Estonia
11,Kristi Wilson,dixondeborah@example.net,2024-01-03,Poland
12,Alyssa Cisneros,johnnyholmes@example.net,2025-08-18,Nicaragua
13,Theresa Anthony,skinnernichole@example.org,2023-04-16,Heard Island and McDonald Islands
14,Kevin Johnson,richarddunn@example.net,2024-11-23,Northern Mariana Islands
15,Joe Bryant,renee01@example.com,2024-02-13,Zimbabwe
16,Shane Martin,henry00@example.net,2023-05-07,Ukraine
17,Justin Thomas,moorelucas@example.net,2023-03-15,Brazil
18,John Durham,bruce89@example.org,2025-03-22,Palau
19,Mr. Kenneth Weber DVM,yosborne@example.com,2023-07-18,Mauritius
20,Sheryl Nguyen,brianburns@example.net,2024-03-06,Ireland
21,Stephanie Wright,jcox@example.net,2023-05-11,Liechtenstein
22,Drew Simmons III,mendezkelly@example.com,2023-12-21,United States Virgin Islands
23,Lee Burch,jlove@example.com,2024-05-28,Vanuatu
24,Lisa Smith,tylereverett@example.com,2025-03-27,Slovenia
25,Matthew Black MD,brittany61@example.org,2023-01-27,Kenya
26,Meagan Tran,jonesashley@example.net,2024-06-22,Sri Lanka
27,Carly Perez,johnsonana@example.net,2023-01-05,Heard Island and McDonald Islands
28,Mike Moore,scottgregory@example.net,2025-06-29,Saint Pierre and Miquelon
29,Dustin Adams,valerie75@example.com,2023-05-08,Benin
30,Tanya Smith,vkim@example.com,2024-12-26,Hong Kong
31,Jason Hill,debbiesmith@example.net,2023-07-22,Armenia
32,William Riley,ihoffman@example.org,2023-08-13,Switzerland
33,Luke Williams,christophercole@example.com,2025-01-24,Madagascar
34,Kathleen Lopez,bruce77@example.org,2023-01-05,Eritrea
35,Robin Nelson,kmurphy@example.org,2022-09-23,Finland
36,Christopher Key,derek23@example.net,2023-10-09,Liechtenstein
37,Erika Ramsey,torrestiffany@example.net,2023-09-19,Palau
38,Steven Dean,daltonrobin@example.net,2025-06-09,Tokelau
39,Arthur Evans,johnsonsarah@example.com,2023-11-02,Kuwait
40,Rodney Carter,susanwilliamson@example.org,2023-05-03,Honduras
41,Richard Curtis,twilliams@example.com,2024-06-04,Palestinian Territory
42,Mr. Austin Duncan,robert71@example.net,2025-02-25,British Virgin Islands
43,Brandon Davis,mary48@example.net,2024-01-14,Wallis and Futuna
44,Alice Carson,thomas63@example.org,2025-07-26,Mauritius
45,Eric Thompson,qbailey@example.org,2024-03-12,Djibouti
46,Richard Knapp,arroyosusan@example.net,2025-02-05,Saint Vincent and the Grenadines
47,Ryan Parker,erik49@example.com,2022-12-02,Iceland
48,Kaitlin Logan,clayton87@example.com,2023-01-18,Indonesia
49,Diana Rogers,melody03@example.net,2023-08-08,Faroe Islands
50,Michelle Garcia,charles96@example.org,2023-04-17,Liechtenstein
51,Leroy Browning,williepark@example.net,2025-06-27,South Georgia and the South Sandwich Islands
52,Kathryn Williams,rhonda26@example.net,2025-03-22,Bangladesh
53,Mr. Robert Hudson Jr.,leah10@example.com,2024-10-14,Somalia
54,Diane Richardson,mharris@example.org,2024-12-19,Eritrea
55,Daniel Carrillo,bradholt@example.org,2024-01-17,Wallis and Futuna
56,Michael Rodriguez,sarah77@example.com,2025-04-23,Antigua and Barbuda
57,Roger Mason,jeffery87@example.com,2025-08-15,Mayotte
58,Daniel Castaneda,ortegajudith@example.net,2025-07-12,Singapore
59,Andrea Hull,walterskirsten@example.net,2023-06-09,Afghanistan
60,Rebecca Bolton,barberkristina@example.org,2024-07-06,Macao
61,Michael Martinez,dwayne38@example.com,2022-09-09,Sao Tome and Principe
62,Joshua Warner,carolinenichols@example.org,2025-07-26,Liberia
63,Ashlee Howell,pughmelissa@example.org,2023-06-07,United States Virgin Islands
64,Kayla Adams,jackphillips@example.org,2022-12-16,Venezuela
65,Sonya Francis,mcleandaniel@example.com,2023-07-01,Isle of Man
66,Sydney Owens,meganmaynard@example.com,2023-06-15,Niger
67,Paul Taylor,helenmartin@example.net,2023-04-04,Senegal
68,Diana Scott,velasquezchad@example.com,2023-02-26,Cyprus
69,William Norman,katherineturner@example.com,2024-01-05,Palestinian Territory
70,Erika Bennett,wallen@example.org,2023-05-24,Barbados
71,Jodi Hahn MD,ortizmargaret@example.org,2023-12-28,Puerto Rico
72,Kent Bailey,april19@example.net,2024-11-16,Niger
73,Joann King,markcline@example.net,2024-06-20,Latvia
74,Andre Harrison,carl55@example.com,2024-05-10,Korea
